Positive,Negative
Inhibition of miR-145 maintains RRACH m6A levels of CLIP3 and inhibits its nascent translation.,"Furthermore, overexpression of RUNX2 effectively reversed the suppressive effect of miR-205 on the proliferation, migration, and invasion of MG63 and U2OS cells."
"By examining the RB protein level following enforced or inhibition of miR-675 expression, our results indicated that miR-675 expression inhibition increased the RB protein level, whereas ectopic miR-675 expression consistently decreased the RB protein level in all four cell lines.","Therefore, we examined the expression levels of miR-183 in various types of gliomas and the association of miR-183 with isocitrate dehydrogenase 2 (IDH2), which has complementary sequences to miR-183 in its 3'-untranslated region (3'UTR)."
"Here, we show that dispatched 2 is a target of miR-214.","Promotion of metastasis in response to miR-224 downregulation was associated with derepression of the stroma-associated RKIP target genes, CXCR4, MMP1, and OPN, which are involved in breast tumor metastasis to the bone."
"miR-129-5p could suppress GC cell proliferation, migration and invasion by selectively inhibiting COL1A1",Luciferase assay was performed to confirm the relationship of circRNA-miRNA-mRNA.
Two additional reporter constructs were used to determine whether the predicted target site at nucleotides 1326 to 1332 of the RHOB 3a2UTR was responsible for the regulation observed in the full 3a2UTR.,Our findings define the miRNA miR-516-3p as an antimetastamir with potential therapeutic applications in blocking metastatic dissemination of gastric cancers.
E-cadherin is a direct target of miR-9 in OCCC.,"In this study, the miRNA expression profiles of the cumulus cell samples isolated from five PCOS and five control patients were determined by an miRNA microarray."
"c-Myc down-regulation was observed in miR-200a-overexpressed cells, while up-regulation in miR-200a-silenced cells (P < 0.01, Fig 3A and 3B), indicating c-Myc was negatively regulated by miR-200a.","Furthermore, miR-375 expression is negatively regulated by the metastasis associated transcription factor Snail, which directly binds to the putative promoter of miR-375."
"Furthermore, the protein expression of c-Myc was down-regulated after OGD/R (P < 0.05) and this down-regulation was abolished by miR-200a silencing (P < 0.01, Fig 3C and 3D).","In the present study, we found that miR-30a was significantly down-regulated in peritoneal tissues, with progressive fibrosis in patients with continuous ambulatory peritoneal dialysis and in a rat model of PD."
"Four of the six candidates (CNN3, LARP4, TAGLN2, and ATP6V1B2) were predicted to be regulated by miR-1",Whole genome miRNA sequencing in surgically resected hippocampi did not reveal obvious differences in expression profiles between the two groups of patients.
Transforming growth factor- receptor (TGFBR)2 is a verified target of miR-17-92 in solid cancers,"On the contrary, miR-21overexpression had the opposite effects."
